Family,Species,Alpine,Montane,Foothills,Plains
Parnassian and Swallowtails,Rocky Mountain Parnassian,Aug-Sep,Jun-Sep,Jun-Jul,
Parnassian and Swallowtails,Black Swallowtail,,Jun-Jul,Apr-Jul,Aug-Sep
Parnassian and Swallowtails,Anise Swallowtail,,Apr-Jul,Apr-Jul,Mar-Jun
Parnassian and Swallowtails,Indra Swallowtail,,Jun-Jul,May-Jul,
Parnassian and Swallowtails,Western Tiger Swallowtail,,Jun-Aug,Apr-Aug,Jun-Aug
Parnassian and Swallowtails,Pale Swallowtail,,Jun-Aug,May-Aug,
Parnassian and Swallowtails,Two-tailed Swallowtail,,,Jun-Aug,Jul-Aug
Whites and Orangetip,Pine White,,Sep,Aug-Sep,
Whites and Orangetip,Checkered White,Jun-Aug,Jun-Aug,May-Aug,Mar-May
Whites and Orangetip,Western White,Jun-Aug,Jun-Aug,May-Aug,"Mar, Jun-Aug"
Whites and Orangetip,Spring White,,Jun,Apr-Jul,
Whites and Orangetip,Cabbage White,Sep,Aug,Mar-Aug,Apr-Aug
Whites and Orangetip,Margined White,Jul-Aug,Jul-Aug,Jun-Aug,
Whites and Orangetip,Large Marble,Aug-Sep,May-Aug,Apr-Aug,
Whites and Orangetip,Olympia Marble,,,Apr-Jun,"Mar, Jun"
Whites and Orangetip,Julia Orangetip,,May-Jun,Apr-Jun,
Sulphurs,Clouded Sulphur,"Jun, Aug-Sep",May-Aug,Apr-Aug,Mar-Aug
Sulphurs,Orange Sulphur,Jun-Sep,Jun-Aug,Apr-Aug,May-Aug
Sulphurs,Southern Dogface,,,,Aug
Sulphurs,Queen Alexandra's Sulphur,Jul-Aug,Jun-Aug,May-Aug,
Sulphurs,Mead's Sulphur,Aug-Sep,Aug,,
Sulphurs,Cloudless Sulphur,Jun,,,
Sulphurs,Mexican Yellow,,Jul-Aug,Jun-Jul,
Sulphurs,Sleepy Orange,Aug,Jun-Jul,,Jul
Sulphurs,Lyside Sulphur,,,,Jun
Sulphurs,Dainty Sulphur,,Jun-Aug,Apr-Aug,Jun-Sep
Commas Tortoiseshells Mourning Cloak,Satyr Comma,,,Jun,
Commas Tortoiseshells Mourning Cloak,Green Comma,,Jul-Aug,,
Commas Tortoiseshells Mourning Cloak,Hoary Comma,Jul,May-Aug,Mar-Sep,Apr
Commas Tortoiseshells Mourning Cloak,Milbert's Tortoiseshell,Jul-Aug,"Mar, Aug",Apr-Jun,Mar-Apr
Commas Tortoiseshells Mourning Cloak,California Tortoiseshell,,,Apr-May,
Commas Tortoiseshells Mourning Cloak,Mourning Cloak,,"Apr-Jul, Sep",Mar-Aug,Apr-Aug
Admirals Buckeye Ladies Emperor,Red Admiral,,"Jun, Aug",Apr-Aug,"Apr-May, Jul"
Admirals Buckeye Ladies Emperor,Weidemeyer's Admiral,,Jun-Aug,Apr-Sep,
Admirals Buckeye Ladies Emperor,Common Buckeye,,,Aug,Sep
Admirals Buckeye Ladies Emperor,Painted Lady,Apr-Aug,May-Aug,"Apr-Jun, Aug","Apr-Jun, Aug"
Admirals Buckeye Ladies Emperor,West Coast Lady,,,Jul,Sep
Admirals Buckeye Ladies Emperor,American Lady,,Jun-Aug,Apr-Aug,May
Admirals Buckeye Ladies Emperor,Hackberry Emperor,,,Jun-Aug,
Ringlet and Wood-Nymphs,Common (Ochre) Ringlet,,Jun-Sep,May-Aug,Jun
